道路名称,年份,路龄,车行道小修金�?车行道零星金�?车行道中修金�?掘路修复金额,前一年pci,车道面积,道路属性_主干�?道路属性_次干�?道路属性_快速路,道路属性_支路,pred,,,,,,,
225,2022,14,9.3948,0.940638,0,0.212624,79.32,115053.14,1,0,0,0,83.85681937,86.56,2.703180634
226,2022,14,7.9497,10.291947,0,0.465115,68.79,271131.73,1,0,0,0,81.54071582,84.87,3.329284183
227,2022,14,0.9614,3.118791,0,0,84.41,29103,1,0,0,0,84.42846117,90.05,5.621538827
228,2022,14,2.1624,4.654027,0,14.49734,80.36,82599,1,0,0,0,83.55610466,81.29,-2.266104662
229,2022,14,0.143834984,11.85171,0,4.50092,95.54,144684.05,1,0,0,0,87.51422578,77.63,-9.884225783
230,2022,14,0,3.120432,0,0,86.86,23324,1,0,0,0,85.07708351,72.38,-12.69708351
231,2022,14,1.41067034,0,0,0,79.89,36406.4,1,0,0,0,83.5484693,85.08,1.531530696
232,2022,14,18.2955344,8.061486,0,0,80.38,57151.5,1,0,0,0,82.87638608,84.8,1.923613915
233,2022,14,5.1475,2.728019,0,3.92371014,92.1,38815.18,1,0,0,0,86.62349366,83.07,-3.553493659
234,2022,14,0,5.77089,0,0,78.98,66248,1,0,0,0,82.9898392,99.08,16.0901608
235,2022,14,12.3127533,51.14838,0,4.487682,65.27,130225.25,1,0,0,0,76.88502794,68.52,-8.365027939
236,2022,15,0,1.9174473,0,1.881,84.52,30512.11947,1,0,0,0,84.4535566,80.73,-3.723556598
237,2022,15,0,0.2081028,0,0,76.56,16779,1,0,0,0,82.29801203,83.54,1.241987973
238,2022,15,0,0,0,0,95.18,34010,1,0,0,0,87.69010026,88.75,1.05989974
239,2022,15,0,0.082362,0,0,75.09,61987,1,0,0,0,82.29944257,92.55,10.25055743
240,2022,15,17.72210941,5.0957,0,0,75.09,28800,1,0,0,0,81.35010801,79.93,-1.42010801
241,2022,15,0,0,0,0,85.76,54746,1,0,0,0,85.20733741,93.27,8.062662592
242,2022,15,0.34,2.294037,0,0,91.3,65126.4,1,0,0,0,86.58799633,79.32,-7.267996333
243,2022,15,0,5.325181,0,0,76,36000,1,0,0,0,81.80712241,68.79,-13.01712241
244,2022,15,68.27,1.473636,0,0,87.07,67160,1,0,0,0,84.63765855,84.41,-0.227658553
245,2022,15,0,6.5492,0,0,86.21,26725.2,1,0,0,0,84.42177868,80.36,-4.061778679
246,2022,15,0,0,0,0,88.81,45043,1,0,0,0,85.9830988,95.54,9.556901205
247,2022,15,26.2650846,6.591957,0,2.084985,68.05,38376,1,0,0,0,79.37236852,86.86,7.487631477
248,2022,15,65.83,1.745586,0,0,84.08,31120,1,0,0,0,83.57814246,79.89,-3.688142462
249,2022,15,0,0.615717,50.07,0,84.78,14882.9,1,0,0,0,84.53521936,80.38,-4.155219358
,,,,,,,,,,,,,,,0.405078234
