道路名称,年份,路龄,车行道小修金额,车行道零星金额,车行道中修金额,掘路修复金额,前一年pci,车道面积,道路属性_主干路,道路属性_次干路,道路属性_快速路,道路属性_支路,pred
169.0,2016.0,16.0,0.0,0.45150000000000007,0.0,0.9864,81.83,25726.0,1.0,0.0,0.0,0.0,83.67000560283662
170.0,2016.0,16.0,54.8766,0.2743,0.0,0.0,83.92,18088.0,1.0,0.0,0.0,0.0,83.55518165230752
171.0,2016.0,16.0,0.0,0.0317,0.0,0.0,97.75,7999.000000000001,0.0,1.0,0.0,0.0,87.96971510171892
172.0,2016.0,16.0,1.8105,0.5423,0.0,0.0,81.04,20218.2,0.0,1.0,0.0,0.0,82.75163542151451
173.0,2016.0,16.0,5.5019,0.9601,0.0,0.0,76.54,20617.0,0.0,1.0,0.0,0.0,81.26779590845108
174.0,2016.0,16.0,0.0,0.4473,109.438,0.0,77.17,12003.5,0.0,1.0,0.0,0.0,81.50247433900833
175.0,2016.0,16.0,15.689200000000001,1.24912,0.0,0.0,87.62,112080.00000000001,0.0,1.0,0.0,0.0,85.32725408554079
176.0,2016.0,16.0,32.55485,2.5172,96.08250000000001,0.0,87.74,36650.0,0.0,1.0,0.0,0.0,84.28906674265862
177.0,2016.0,16.0,0.0,0.0317,0.0,0.0,99.35,10765.0,0.0,1.0,0.0,0.0,88.49692056417466
178.0,2016.0,16.0,0.0,0.0317,153.392,0.0,100.0,5891.5,0.0,1.0,0.0,0.0,88.65445425748825
179.0,2016.0,16.0,0.0,0.4093,0.0,0.0,84.89,13558.5,0.0,1.0,0.0,0.0,83.9307223725319
180.0,2016.0,16.0,0.0,0.5485,19.1271,0.0,85.33,44150.2,0.0,1.0,0.0,0.0,84.33453058838845
181.0,2016.0,16.0,0.0,1.4544,0.0,5.4915,79.69,33554.7,0.0,1.0,0.0,0.0,82.35885356903076
182.0,2016.0,16.0,0.0,0.2891,0.0,0.0,88.65,29449.499999999996,0.0,1.0,0.0,0.0,85.26912932753564
183.0,2016.0,16.0,0.0,0.4748,0.0,0.0,92.57,13573.0,0.0,1.0,0.0,0.0,86.33122785687448
184.0,2016.0,16.0,0.0,1.0803,0.0,0.0,78.51,12960.0,0.0,1.0,0.0,0.0,81.85451686382294
185.0,2016.0,16.0,0.0,0.12130000000000002,0.0,0.0,79.34,22184.0,0.0,1.0,0.0,0.0,82.31845757126808
186.0,2016.0,16.0,0.0,0.6098,0.0,0.0,87.47,23947.0,0.0,1.0,0.0,0.0,84.80894285798074
187.0,2016.0,16.0,0.0,0.4262,96.81549999999999,0.0,80.6,12420.0,0.0,1.0,0.0,0.0,82.57505935788154
188.0,2016.0,16.0,0.0,0.2005,0.0,0.0,72.21,7163.0,0.0,1.0,0.0,0.0,79.95726833701134
189.0,2016.0,16.0,0.0,0.0106,0.0,0.0,76.87,7563.7,0.0,1.0,0.0,0.0,81.42332684397698
190.0,2016.0,16.0,20.3117,0.22370000000000004,0.0,0.0,86.01,18263.8,0.0,1.0,0.0,0.0,84.04966628193856
191.0,2016.0,16.0,0.0,0.0675,0.0,0.0,81.14,5423.9,0.0,1.0,0.0,0.0,82.72434069395065
192.0,2016.0,16.0,0.0,0.3722,0.0,0.0,75.24,81073.0,0.0,1.0,0.0,0.0,81.59174011468887
193.0,2016.0,16.0,0.0,1.8631,0.0,0.0,78.04,22608.0,0.0,1.0,0.0,0.0,81.70820856571197
194.0,2016.0,16.0,0.0,0.1924,0.0,0.0,78.46,10913.0,0.0,1.0,0.0,0.0,81.9273873925209
195.0,2016.0,16.0,0.0,0.2005,0.0,0.0,96.5,7249.999999999999,0.0,1.0,0.0,0.0,87.54743921995164
196.0,2016.0,16.0,21.5258,0.0907,0.0,0.0,81.96,3610.5,0.0,1.0,0.0,0.0,82.67032843112946
197.0,2016.0,16.0,0.0,1.2301,0.0,0.8768,95.01,21223.8,0.0,1.0,0.0,0.0,87.0645233154297
198.0,2016.0,16.0,0.0,0.6372,68.3355,100.72,92.4,22945.0,0.0,1.0,0.0,0.0,86.046453114748
199.0,2016.0,16.0,0.0,0.8187,90.59559999999999,0.0,84.26,37965.0,0.0,1.0,0.0,0.0,83.9077690267563
200.0,2016.0,16.0,0.6944,0.0739,0.0,0.0,79.25,6721.0,0.0,1.0,0.0,0.0,82.13785360097886
201.0,2016.0,16.0,0.0,0.249,0.0,0.0,81.72,5451.0,0.0,0.0,0.0,1.0,81.65221842408181
